text,tag,hash,file,berttag
Anf. 4 ADAM MARTTINEN (SD),0,,/content/corpus/protocols/202021/prot-202021--8.xml,1
Anf. 54 Statsrådet INGEGERD WÄRNERS-,0,,/content/corpus/protocols/200001/prot-200001--113.xml,1
Anf. 20 ALI ESBATI (V),0,,/content/corpus/protocols/201415/prot-201415--19.xml,1
Statsrådet fru MYRDAL:,0,3aa013d5,/content/corpus/protocols/1970/prot-1970--ak--9.xml,1
Anf. 65 MATS BERGLUND (MP) replik,0,,/content/corpus/protocols/201819/prot-201819--74.xml,1
Anf. 55 CARINA ADOLFSSON ELGES-,0,,/content/corpus/protocols/200102/prot-200102--18.xml,1
Anf. 35 Statsrådet ANDERS YGEMAN (S),0,,/content/corpus/protocols/201617/prot-201617--57.xml,1
Anf. 25 CHRISTINA HÖJ LARSEN (V),0,,/content/corpus/protocols/202021/prot-202021--47.xml,1
Anf. 143 KRISTINA YNGWE (C) replik,0,,/content/corpus/protocols/201617/prot-201617--46.xml,1
1982/83:,1,30837f99,/content/corpus/protocols/198283/prot-198283--107.xml,0
Anf. 57 JUNO BLOM (L) replik,0,,/content/corpus/protocols/201920/prot-201920--64.xml,1
Anf. 84 STEN BERGHEDEN (M),0,,/content/corpus/protocols/202021/prot-202021--133.xml,1
Anf. 148 GUNILLA CARLSSON i Hisings Backa (S) replik:,0,,/content/corpus/protocols/201213/prot-201213--78.xml,1
Anf. 204 ISAK FROM (S) replik,0,,/content/corpus/protocols/202021/prot-202021--51.xml,1
Anf. 90 Statsrådet ANNA JOHANSSON (S),0,,/content/corpus/protocols/201516/prot-201516--90.xml,1
Anf. 208 LARS HJÄLMERED (M) replik,0,,/content/corpus/protocols/201920/prot-201920--58.xml,1
Anf. 110 Statsrådet ANNA JOHANSSON (S),0,,/content/corpus/protocols/201617/prot-201617--48.xml,1
Anf. 83 Utbildningsminister GUSTAV FRIDOLIN (MP),0,,/content/corpus/protocols/201516/prot-201516--121.xml,1
Anf. 128 RASMUS LING (MP) replik,0,,/content/corpus/protocols/201718/prot-201718--123.xml,1
1979/80:,1,06610095,/content/corpus/protocols/197980/prot-197980--118.xml,0
"Herr utrikesministern ANDERSSON erhöll ordet för att besvara
            herr Strindbergs (m) den 19 mars anmälda interpellation, 1975/76:155,
            till herr statsministern, och anförde:",0,f9a3be84,/content/corpus/protocols/197576/prot-197576--110.xml,1
"Herr Hallin erhöll på begäran ordet och yttrade: I enlighet med
            vad som har skett under de senaste två riksdagarna då med herr
            talmannens tillstånd till riksdagen överlämnats de resolutioner,
            som fattats vid interparlamentariska unionens senaste konferens,
            anhåller jag nu å riksdagens interparlamentariska grupps styrelses
            vägnar att få till riksdagen överlämna en skrivelse med de resolutioner,
            som beslutats vid unionens konferens nästlidna augusti i Geneve
            och Bern. Styrelsen önskar särskilt fästa uppmärksamheten vid
            resolutionerna om unionens finansiella situation, den parlamentariska
            kontrollen över utrikespolitiken, världens ekonomiska solidaritet
            och den internationella trafiken samt inskränkning av rustningarna.",0,c418b21d,/content/corpus/protocols/1925/prot-1925--fk--21.xml,1
"177 av Isa Halvarsson (fp) till utbildningsministern om försöksverksamheten
            med den nya gymnasiereformen:",1,449fe7df,/content/corpus/protocols/198889/prot-198889--18.xml,0
Anf. 88 Statsrådet BENGT K. Å. JOHANSSON:,0,f844330c,/content/corpus/protocols/198687/prot-198687--37.xml,1
Anf. 97 LOTTA FINSTORP (M),0,,/content/corpus/protocols/201415/prot-201415--69.xml,1
Anf. 75 MAGNUS OSCARSSON (KD),0,,/content/corpus/protocols/201415/prot-201415--70.xml,1
1981/82:,1,888cb214,/content/corpus/protocols/198182/prot-198182--154.xml,0
PERSSON (s),0,,/content/corpus/protocols/199495/prot-199495--62.xml,1
Anf. 89 JESSIKA ROSWALL (M) replik,0,,/content/corpus/protocols/201516/prot-201516--40.xml,1
"Herr industriministern JOHANSSON erhöll ordet för att besvara
            fru Anérs (fp) i kammarens protokoll för den 14 mars intagna fråga,
            nr 119, och anförde:",0,aa8aac40,/content/corpus/protocols/1974/prot-1974--51.xml,1
"Herr ANDERSSON, AXEL JOHAN- NES, (fp):",0,397859cc,/content/corpus/protocols/1964/prot-1964--fk--13.xml,1
Herr statsrådet Nothin avlämnade Kungl. Maj:,1,6ac77caf,/content/corpus/protocols/1925/prot-1925--ak--6.xml,0
Anf. 46 Försvarsminister BJÖRN VON SY-,0,,/content/corpus/protocols/200102/prot-200102--6.xml,1
Anf. 102 OLLE FELTEN (SD) replik,0,,/content/corpus/protocols/201415/prot-201415--38.xml,1
(m):,0,,/content/corpus/protocols/199293/prot-199293--95.xml,1
Anf. 141 Socialförsäkringsminister ANNIKA STRANDHÄLL (S),0,,/content/corpus/protocols/201516/prot-201516--3.xml,1
"Herr statsrådet LÖFBERG erhöll ordet för att besvara herr Wennerfors”
            (m) i kammarens protokoll för den 17 oktober intagna fråga, nr
            243, och anförde:",0,f8c63002,/content/corpus/protocols/1972/prot-1972--103.xml,1
Anf. 111 THOMAS MORELL (SD),0,,/content/corpus/protocols/202021/prot-202021--52.xml,1
Anf. 53 Statsrådet MATS,0,,/content/corpus/protocols/199495/prot-199495--64.xml,1
Anf. 96 Statsrådet ANNA EKSTRÖM (S),0,,/content/corpus/protocols/201617/prot-201617--34.xml,1
Anf. 61 Utrikesminister MARGOT WALLSTRÖM (S),0,,/content/corpus/protocols/201617/prot-201617--26.xml,1
Anf. 7 Statsrådet ANDERS YGEMAN (S),0,,/content/corpus/protocols/202021/prot-202021--7.xml,1
Anf. 48 Utbildningsminister GUSTAV FRIDOLIN (MP),0,,/content/corpus/protocols/201718/prot-201718--4.xml,1
Anf. 119 LINDA LINDBERG (SD),0,,/content/corpus/protocols/202122/prot-202122--19.xml,1
Anf. 185 MARIA STOCKHAUS (M),0,,/content/corpus/protocols/201415/prot-201415--88.xml,1
1985/86:,1,7e33a226,/content/corpus/protocols/198586/prot-198586--62.xml,0
Anf. 48 Statsrådet SVEN-ERIK BUCHT (S),0,,/content/corpus/protocols/201617/prot-201617--103.xml,1
Herr statsrådet Lyberg avlämmade Kungl. Maj:,1,e2f05ea7,/content/corpus/protocols/1927/prot-1927--fk--9.xml,0
Anf. 1 Näringsminister IBRAHIM BAYLAN (S),0,,/content/corpus/protocols/202122/prot-202122--26.xml,1
Anf. 155 MAGNUS EK (C) replik,0,,/content/corpus/protocols/202021/prot-202021--83.xml,1
Anf. 153 MICHAEL SVENSSON (M),0,,/content/corpus/protocols/201516/prot-201516--26.xml,1
"189 av Alf Wennerfors (m) till försvarsministern om försvarets
            reseverksamhet:",1,e49944a9,/content/corpus/protocols/198788/prot-198788--29.xml,0
Anf. 132 EMIL KÄLLSTRÖM (C),0,,/content/corpus/protocols/201415/prot-201415--114.xml,1
(m):,0,,/content/corpus/protocols/199293/prot-199293--121.xml,1
Anf. 148 Miljöminister ANNA LINDH (s),0,,/content/corpus/protocols/199697/prot-199697--53.xml,1
Anf. 149 ROZA GÜCLÜ HEDIN (S) replik,0,,/content/corpus/protocols/201718/prot-201718--76.xml,1
Anf. 88 KERSTIN LUNDGREN (C) replik,0,,/content/corpus/protocols/201617/prot-201617--68.xml,1
Anf. 44 Miljöminister KAROLINA SKOG (MP),0,,/content/corpus/protocols/201718/prot-201718--30.xml,1
"TALMANNEN: Som ny suppleant i försvarsutskottet efter Johannes
            Antonsson har centerpartiets partigrupp anmält Axel Kristiansson.",0,86600bcf,/content/corpus/protocols/197879/prot-197879--94.xml,1
Anf. 5 MIA SYDOW MÖLLEBY (V),0,,/content/corpus/protocols/202021/prot-202021--25.xml,1
Anf. 67 Finansminister ANNE WIBBLE,0,,/content/corpus/protocols/199192/prot-199192--35.xml,1
Anf. 32 Försvarsminister PETER HULTQVIST (S) replik,0,,/content/corpus/protocols/202021/prot-202021--50.xml,1
Anf. 43 LINDA WESTERLUND SNECKER (V),0,,/content/corpus/protocols/201920/prot-201920--100.xml,1
PERSSON (s),0,,/content/corpus/protocols/199495/prot-199495--110.xml,1
Arbetsmarknadsministern PER AHLMARK:,0,68908f4a,/content/corpus/protocols/197778/prot-197778--7.xml,1
Anf. 183 KENT EKEROTH (SD) replik,0,,/content/corpus/protocols/201415/prot-201415--20.xml,1
RUNE JOHANSSON i Ljungby (s):,0,884d1339,/content/corpus/protocols/197778/prot-197778--50.xml,1
Anf. 136 HANS PETERSSON i Röstånga (fp):,0,d839bcb5,/content/corpus/protocols/198283/prot-198283--140.xml,1
Anf. 245 NIKLAS WYKMAN (M),0,,/content/corpus/protocols/201617/prot-201617--47.xml,1
Anf. 205 JONAS JACOBSSON GJÖRTLER (M),0,,/content/corpus/protocols/201718/prot-201718--131.xml,1
Anf. 77 JOHAN FORSSELL (M),0,,/content/corpus/protocols/201718/prot-201718--59.xml,1
Anf. 179 EMMA HULT (MP) replik,0,,/content/corpus/protocols/201516/prot-201516--74.xml,1
Anf. 118 ELISEBEHT MARKSTRÖM (s),0,,/content/corpus/protocols/200203/prot-200203--87.xml,1
THALÉN (s),0,,/content/corpus/protocols/199596/prot-199596--60.xml,1
Statsrådet OLOF JOHANSSON:,0,73089586,/content/corpus/protocols/197778/prot-197778--106.xml,1
Anf. 55 JOAR FORSSELL (L),0,,/content/corpus/protocols/201920/prot-201920--135.xml,1
Anf. 66 OLA JOHANSSON (C),0,,/content/corpus/protocols/201920/prot-201920--38.xml,1
Anf. 96 ANDERS W JONSSON (C) replik,0,,/content/corpus/protocols/201617/prot-201617--47.xml,1
Anf. 21 HELÉN PETTERSSON i Umeå (s):,0,,/content/corpus/protocols/200607/prot-200607--35.xml,1
Anf. 8 Socialminister INGELA THALÉN,0,,/content/corpus/protocols/199091/prot-199091--61.xml,1
Anf. 39 Miljöminister KJELL LARS-,0,,/content/corpus/protocols/200001/prot-200001--37.xml,1
Anf. 73 Ålderspresident KRISTER ÖRNFJÄDER (S),0,,/content/corpus/protocols/201718/prot-201718--51.xml,1
Anf. 97 EDWARD RIEDL (M),0,,/content/corpus/protocols/201516/prot-201516--72.xml,1
Anf. 42 Utbildningsministern JAN-ERIK WIKSTRÖM:,0,29531934,/content/corpus/protocols/198081/prot-198081--36.xml,1
Anf. 38 ANNIE LÖÖF (C) replik,0,,/content/corpus/protocols/201415/prot-201415--8.xml,1
1984/85:,1,6216190e,/content/corpus/protocols/198485/prot-198485--145.xml,0
Arbetsmarknadsministern ROLF WIRTÉN:,0,5f8e8f5b,/content/corpus/protocols/197879/prot-197879--104.xml,1
Anf. 196 PER-INGVAR JOHNSSON (C),0,,/content/corpus/protocols/201617/prot-201617--37.xml,1
Anf. 88 Närings- och innovationsminister MIKAEL DAMBERG (S),0,,/content/corpus/protocols/201617/prot-201617--42.xml,1
Anf. 134 MATHIAS TEGNÉR (S),0,,/content/corpus/protocols/201617/prot-201617--47.xml,1
Anf. 4 Finansminister KJELL-OLOF FELDT:,0,08fc9a54,/content/corpus/protocols/198283/prot-198283--139.xml,1
Anf. 159 Utrikesminister MARGOT WALLSTRÖM (S),0,,/content/corpus/protocols/201415/prot-201415--41.xml,1
Anf. 75 Närings- och innovationsminister MIKAEL DAMBERG (S),0,,/content/corpus/protocols/201617/prot-201617--53.xml,1
1987/88:,1,70f3b562,/content/corpus/protocols/198788/prot-198788--89.xml,0
Anf. 135 DANIEL RIAZAT (V) replik,0,,/content/corpus/protocols/201819/prot-201819--81.xml,1
"Ordet lämnades på begäran till hans excellens herr ministern
            för utrikes ärendena UNDÉN, som framförde det i Kungl. Maj:ts
            skrivelse nr 57 avsedda meddelandet till riksdagen, så lydande:",0,ea6af706,/content/corpus/protocols/1952/prot-1952--ak--7.xml,1
Anf. 66 ERIK EZELIUS (S) replik,0,,/content/corpus/protocols/201617/prot-201617--40.xml,1
Anf. 56 Justitieminister LAILA FREI-,0,,/content/corpus/protocols/19992000/prot-19992000--39.xml,1
Anf. 102 CAMILLA WALTERSSON GRÖNVALL (M),0,,/content/corpus/protocols/201516/prot-201516--103.xml,1
Anf. 83 JULIA KRONLID (SD),0,,/content/corpus/protocols/202021/prot-202021--104.xml,1
Anf. 315 MARIA FERM (MP) replik,0,,/content/corpus/protocols/201819/prot-201819--8.xml,1
Anf. 103 Statsrådet JÖRGEN,0,,/content/corpus/protocols/199495/prot-199495--76.xml,1
Anf. 105 JOHAN HULTBERG (M),0,,/content/corpus/protocols/201718/prot-201718--81.xml,1
Vidare anförde:,1,7e743110,/content/corpus/protocols/1969/prot-1969--ak--27.xml,0
Anf. 54 DANIEL RIAZAT (V) replik,0,,/content/corpus/protocols/202021/prot-202021--87.xml,1
Anf. 112 STEN BERGHEDEN (M),0,,/content/corpus/protocols/201415/prot-201415--68.xml,1
Anf. 169 MATS NORDBERG (SD) replik,0,,/content/corpus/protocols/201819/prot-201819--101.xml,1
Anf. 111 JIMMY LOORD (KD) replik,0,,/content/corpus/protocols/201819/prot-201819--33.xml,1
Anf. 43 DAG LARSSON (S) replik,0,,/content/corpus/protocols/201819/prot-201819--9.xml,1
SON (s):,0,,/content/corpus/protocols/19992000/prot-19992000--47.xml,1
Anf. 46 Statsrådet IBRAHIM BAYLAN (S),0,,/content/corpus/protocols/201617/prot-201617--49.xml,1
Anf. 23 Finansminister MAGDALENA ANDERSSON (S) replik,0,,/content/corpus/protocols/201516/prot-201516--5.xml,1
Anf. 62 DANIEL RIAZAT (V),0,,/content/corpus/protocols/201617/prot-201617--85.xml,1
"Fröken ANDERSSON, som nu lämnade talmansplatsen, anförde därvid
            till herr talmannen:",0,1836a456,/content/corpus/protocols/1966/prot-1966--fk--1.xml,1
Anf. 5 MAJLÉNE WESTERLUND PAN-,0,,/content/corpus/protocols/19992000/prot-19992000--16.xml,1
Anf. 30 Statsrådet ANNA JOHANSSON (S),0,,/content/corpus/protocols/201617/prot-201617--50.xml,1
Anf. 137 JEFF AHL (SD) replik,0,,/content/corpus/protocols/201415/prot-201415--116.xml,1
Anf. 11 PENILLA GUNTHER (KD),0,,/content/corpus/protocols/201718/prot-201718--29.xml,1
Anf. 43 ROBERT STENKVIST (SD),0,,/content/corpus/protocols/201920/prot-201920--142.xml,1
Utrikesministern HANS BLIX:,0,785e7166,/content/corpus/protocols/197879/prot-197879--94.xml,1
Anf. 38 GÖRAN HÄGGLUND (kd) 7,0,,/content/corpus/protocols/199899/prot-199899--6.xml,1
"Herr finansministern STRÄNG erhöll ordet för att besvara herr
            Hovhammars (m) i kammarens protokoll för den 1 november intagna
            fråga, nr 283, och anförde:",0,8f43f0b0,/content/corpus/protocols/1973/prot-1973--129.xml,1
"Herr Ekman, Carl Gustaf, erhöll ordet och anförde: I anslutning
            till det nu fattade beslutet tillåter jag mig hemställa, att suppleanternas
            antal måtte bestämmas till tio.",0,1fd4a7f3,/content/corpus/protocols/1925/prot-1925--fk--12.xml,1
Anf. 23 TOBIAS BILLSTRÖM (M),0,,/content/corpus/protocols/201819/prot-201819--81.xml,1
Anf. 65 Statsrådet ISABELLA LÖVIN (MP),0,,/content/corpus/protocols/201516/prot-201516--38.xml,1
Anf. 120 Justitieminister GUN HELLSVIK,0,,/content/corpus/protocols/199192/prot-199192--115.xml,1
SUNDSTRÖM (s),0,,/content/corpus/protocols/199495/prot-199495--114.xml,1
JOHANSSON (s),0,,/content/corpus/protocols/199495/prot-199495--113.xml,1
Anf. 38 Finansminister KJELL-OLOF FELDT:,0,7890824f,/content/corpus/protocols/198283/prot-198283--114.xml,1
FREIVALDS (s),0,,/content/corpus/protocols/199596/prot-199596--104.xml,1
Anf. 203 EWA LARSSON (mp) replik,0,,/content/corpus/protocols/199596/prot-199596--101.xml,1
"264 av Lennart Bladh (s) till industriministern om åtgärder för
            att trygga sysselsättningen vid Ato Fritid i Osby:",1,bc1d4e84,/content/corpus/protocols/197980/prot-197980--63.xml,0
Herr statsrådet Schlyter avlämnade Kungl. Maj:,1,680fc8ce,/content/corpus/protocols/1936/prot-1936--fk--11.xml,0
DOW (s):,0,,/content/corpus/protocols/199899/prot-199899--100.xml,1
Anf. 26 TALMANNEN,0,,/content/corpus/protocols/201920/prot-201920--20.xml,1
Anf. 46 NOOSHI DADGOSTAR (V),0,,/content/corpus/protocols/201718/prot-201718--95.xml,1
LIN (mp):,0,,/content/corpus/protocols/19992000/prot-19992000--124.xml,1
VALL (s):,0,,/content/corpus/protocols/200001/prot-200001--74.xml,1
Anf. 78 CECILIE TENFJORD-TOFTBY (M),0,,/content/corpus/protocols/201516/prot-201516--7.xml,1
Anf. 3 CATHERINE PERSSON (s) 3,0,,/content/corpus/protocols/199899/prot-199899--68.xml,1
Anf. 109 Utbildningsminister GUSTAV FRIDOLIN (MP),0,,/content/corpus/protocols/201415/prot-201415--95.xml,1
Anf. 47 FREDRIK SCHULTE (M),0,,/content/corpus/protocols/201617/prot-201617--9.xml,1
Anf. 2 GUNILLA CARLSSON i Tyresö (m):,0,,/content/corpus/protocols/200506/prot-200506--73.xml,1
Anf. 75 BJÖRN SÖDER (SD),0,,/content/corpus/protocols/201920/prot-201920--44.xml,1
Anf. 74 JOHN ANDERSSON (-):,0,,/content/corpus/protocols/199394/prot-199394--53.xml,1
1982/83:,1,3cb86f86,/content/corpus/protocols/198283/prot-198283--69.xml,0
Anf. 61 MATS ODELL (kds) replik,0,,/content/corpus/protocols/199596/prot-199596--109.xml,1
Anf. 30 SOFIA WESTERGREN (M),0,,/content/corpus/protocols/202021/prot-202021--90.xml,1
Anf. 26 Näringsminister BJÖRN ROSENGREN (s) 11,0,,/content/corpus/protocols/199899/prot-199899--68.xml,1
1983/84:,1,ca07a0fc,/content/corpus/protocols/198384/prot-198384--130.xml,0
PERSSON (s),0,,/content/corpus/protocols/199596/prot-199596--86.xml,1
"Ordet gavs härefter till herr HOLMBERG (h), som yttrade:",0,cb37575b,/content/corpus/protocols/1963/prot-1963-hÃ¶st-fk--33.xml,1
"Justitieministern SVEN ROMANUS: Herr talman! Jag vill gärna säga
              att som Karl-Erik Strömberg riktigt uppfattat mitt svar är situationen
              ansträngd på trafikområdet i sommar. Men 19",0,51d36279,/content/corpus/protocols/197778/prot-197778--160.xml,1
Anf. 85 ANDERS W JONSSON (C),0,,/content/corpus/protocols/201819/prot-201819--56.xml,1
Anf. 44 NILS-OLOF GUSTAFSSON (s),0,,/content/corpus/protocols/199091/prot-199091--119.xml,1
"Överläggningen var härmed avslutad. Mom. 1 (avdragsrätt för bidrag
            till främjande av ett läns näringsliv) Utskottets hemställan bifölls
            med 212 röster mot 69 för reservationen av Knut Wachtmeister m.
            fl. Mom. 2 Utskottets hemställan bifölls. 98 Meddelande om svar
            på interpellation 1982/83:113 Anf. 46 Statsrådet GERTRUD SIGURDSEN:",1,7db800c6,/content/corpus/protocols/198283/prot-198283--134.xml,0
Anf. 13 STEN BERGHEDEN (M),0,,/content/corpus/protocols/202021/prot-202021--134.xml,1
Anf. 51 KERSTIN LUNDGREN (C) replik,0,,/content/corpus/protocols/201516/prot-201516--111.xml,1
Anf. 20 PÅL JONSON (M),0,,/content/corpus/protocols/201718/prot-201718--86.xml,1
Anf. 143 JAN BJÖRKLUND (FP) replik,0,,/content/corpus/protocols/201516/prot-201516--13.xml,1
Anf. 168 DANIEL BÄCKSTRÖM (C) replik,0,,/content/corpus/protocols/202122/prot-202122--42.xml,1
av herr Nyman (fp) till herr statsrådet och chefen för kommunikationsdepartementet:,1,28b10a53,/content/corpus/protocols/1970/prot-1970-hÃ¶st-fk--32.xml,0
Anf. 27 ALI ESBATI (V),0,,/content/corpus/protocols/201617/prot-201617--71.xml,1
Anf. 60 Statsrådet ÅSA REGNÉR (S),0,,/content/corpus/protocols/201516/prot-201516--66.xml,1
Anf. 3 Kulturminister MARITA ULV-,0,,/content/corpus/protocols/200203/prot-200203--69.xml,1
Anf. 140 MARIANNE SAMUELS-,0,,/content/corpus/protocols/200203/prot-200203--111.xml,1
Anf. 20 NIKLAS WYKMAN (M),0,,/content/corpus/protocols/201516/prot-201516--64.xml,1
Anf. 42 DANIEL RIAZAT (V) replik,0,,/content/corpus/protocols/201920/prot-201920--52.xml,1
Anf. 59 MARTIN KINNUNEN (SD) replik,0,,/content/corpus/protocols/201718/prot-201718--48.xml,1
Anf. 49 ÅSA COENRAADS (M) replik,0,,/content/corpus/protocols/202021/prot-202021--132.xml,1
Anf. 41 HILLEVI LARSSON (S) replik,0,,/content/corpus/protocols/201415/prot-201415--19.xml,1
Anf. 32 Statsrådet HELENE HELLMARK KNUTSSON (S),0,,/content/corpus/protocols/201516/prot-201516--19.xml,1
Anf. 42 Statsrådet ANN LINDE (S),0,,/content/corpus/protocols/201617/prot-201617--51.xml,1
Anf. 57 Statsrådet HELENE HELLMARK KNUTSSON (S),0,,/content/corpus/protocols/201718/prot-201718--113.xml,1
Anf. 93 Statsrådet ANNA JOHANSSON (S),0,,/content/corpus/protocols/201516/prot-201516--90.xml,1
Industriministern ERIK HUSS:,0,fcbd4235,/content/corpus/protocols/197879/prot-197879--34.xml,1
Anf. 1 JENS HOLM (V),0,,/content/corpus/protocols/201920/prot-201920--50.xml,1
Anf. 127 Statsrådet ANNA JOHANSSON (S),0,,/content/corpus/protocols/201415/prot-201415--122.xml,1
Anf. 28 HELENA LINDAHL (C) replik,0,,/content/corpus/protocols/201415/prot-201415--74.xml,1
"Herr förste vice talmannen erhöll ordet och yttrade: Jag får
            hemställa, att kammaren måtte besluta, att första tillfälliga
            utskottets utlåtande nr 20 angående kristendomsundervisningen
            i folkskolorna måtte uppföras på föredragningslistan för onsdagen
            den 25 maj.",0,4f2916ab,/content/corpus/protocols/1921/prot-1921--fk--35.xml,1
"Ordet lämnades härefter till herr statsrådet och chefen för justitiedepartementet
            KLING, som meddelat, att han ämnade vid detta sammanträde besvara
            herr Kilsmos interpellation angående upplåtelse av kyrka för jordfästning,
            och nu anförde:",0,7afd699f,/content/corpus/protocols/1965/prot-1965--fk--21.xml,1
